date, leftPanel, pair, rightPanel
23/03/2020, 146, 15,267
24/03/2020, 479, 07,179
25/03/2020, 350, 81,560
26/03/2020, 689, 34,248
27/03/2020, 588, 14,590
28/03/2020, 346, 31,470
29/03/2020, 577, 96,790
30/03/2020, 147, 28,260
31/03/2020, 136, 03,788
01/04/2020, 126, 98,189
02/04/2020, 359, 70,569
03/04/2020, 567, 86,123
04/04/2020, 389, 06,358
05/04/2020, 455, 47,179
06/04/2020, 458, 72,336
07/04/2020, 469, 92,688
08/04/2020, 348, 54,112
09/04/2020, 679, 22,589
10/04/2020, 900, 94,770
11/04/2020, 155, 19,289
12/04/2020, 258, 53,247
13/04/2020, 489, 11,245
14/04/2020, 299, 00,190
15/04/2020, 250, 73,238
16/04/2020, 799, 52,570
17/04/2020, 140, 52,480
18/04/2020, 890, 76,790
19/04/2020, 244, 06,600
20/04/2020, 667, 91,100
21/04/2020, 578, 09,469
22/04/2020, 136, 00,389
23/04/2020, 569, 08,350
24/04/2020, 150, 62,778
25/04/2020, 455, 49,388
26/04/2020, 189, 80,127
27/04/2020, 239, 46,268
28/04/2020, 280, 06,178
29/04/2020, 369, 84,680
30/04/2020, 367, 62,570
01/05/2020, 149, 41,678
02/05/2020, 114, 66,448
03/05/2020, 488, 01,470
04/05/2020, 230, 52,110
05/05/2020, 350, 81,290
06/05/2020, 568, 99,469
07/05/2020, 358, 62,156
08/05/2020, 126, 98,459
09/05/2020, 189, 85,140
10/05/2020, 459, 81,146
11/05/2020, 279, 89,478
12/05/2020, 228, 21,470
13/05/2020, 289, 95,249
14/05/2020, 447, 54,239
15/05/2020, 570, 29,289
16/05/2020, 469, 93,256
17/05/2020, 130, 45,780
18/05/2020, 690, 55,113
19/05/2020, 480, 25,357
20/05/2020, 260, 84,789
21/05/2020, 368, 73,148
22/05/2020, 445, 37,278
23/05/2020, 258, 51,335
24/05/2020, 122, 57,278
25/05/2020, 390, 21,489
26/05/2020, 557, 79,568
27/05/2020, 378, 80,299
28/05/2020, 349, 60,235
29/05/2020, 246, 25,249
30/05/2020, 344, 15,339
31/05/2020, 258, 58,468
01/06/2020, 179, 75,140
02/06/2020, 467, 79,577
03/06/2020, 990, 82,688
04/06/2020, 379, 97,359
05/06/2020, 259, 69,450
06/06/2020, 137, 13,346
07/06/2020, 378, 80,136
08/06/2020, 590, 48,567
09/06/2020, 588, 17,269
10/06/2020, 126, 94,356
