date, leftPanel, pair, rightPanel
02/12/2015, 130, 42,147
03/12/2015, 122, 51,579
04/12/2015, 570, 25,780
05/12/2015, 127, 07,160
07/12/2015, 770, 46,178
08/12/2015, 447, 53,139
09/12/2015, 126, 92,147
10/12/2015, 125, 81,588
11/12/2015, 680, 43,256
12/12/2015, 457, 64,789
14/12/2015, 166, 33,355
15/12/2015, 700, 79,234
16/12/2015, 247, 35,249
17/12/2015, 388, 99,289
18/12/2015, 280, 01,560
19/12/2015, 377, 79,900
21/12/2015, 589, 24,158
22/12/2015, 147, 28,558
23/12/2015, 160, 70,334
24/12/2015, 458, 78,134
25/12/2015, 230, 57,188
26/12/2015, 667, 90,370
28/12/2015, 700, 70,280
29/12/2015, 330, 61,669
30/12/2015, 155, 11,128
31/12/2015, 235, 00,389
01/01/2016, 379, 98,260
02/01/2016, 299, 05,177
04/01/2016, 257, 41,588
05/01/2016, 224, 84,680
06/01/2016, 790, 67,115
07/01/2016, 488, 06,240
08/01/2016, 359, 70,389
09/01/2016, 240, 64,680
11/01/2016, 377, 73,599
12/01/2016, 359, 70,127
13/01/2016, 689, 32,129
14/01/2016, 589, 28,233
15/01/2016, 139, 37,250
16/01/2016, 480, 21,489
18/01/2016, 230, 56,466
19/01/2016, 230, 50,668
20/01/2016, 256, 31,380
21/01/2016, 145, 06,169
22/01/2016, 360, 91,678
23/01/2016, 899, 69,568
25/01/2016, 279, 89,135
26/01/2016, ***, **,***
27/01/2016, 568, 99,360
28/01/2016, 580, 37,115
29/01/2016, 699, 44,266
30/01/2016, 899, 65,258
01/02/2016, 268, 62,480
02/02/2016, 570, 21,146
03/02/2016, 180, 96,240
04/02/2016, 460, 01,678
05/02/2016, 360, 96,790
06/02/2016, 237, 22,228
08/02/2016, 259, 62,778
09/02/2016, 125, 85,230
10/02/2016, 678, 12,570
11/02/2016, 290, 18,459
12/02/2016, 224, 80,190
13/02/2016, 290, 16,448
15/02/2016, 355, 38,279
16/02/2016, 459, 89,450
17/02/2016, 128, 14,149
18/02/2016, 466, 60,460
19/02/2016, 457, 62,156
20/02/2016, 112, 40,280
22/02/2016, 130, 42,237
23/02/2016, 220, 44,248
24/02/2016, 130, 41,470
25/02/2016, 569, 04,239
26/02/2016, 569, 06,880
27/02/2016, 679, 22,147
29/02/2016, 120, 37,269
01/03/2016, 389, 00,190
02/03/2016, 689, 36,358
03/03/2016, 589, 28,170
04/03/2016, 469, 95,366
05/03/2016, 388, 92,778
07/03/2016, 234, 92,129
08/03/2016, 138, 25,366
09/03/2016, 177, 55,780
10/03/2016, 116, 88,990
11/03/2016, 450, 97,566
12/03/2016, 199, 93,157
14/03/2016, 467, 79,270
15/03/2016, 370, 00,460
16/03/2016, 178, 67,179
17/03/2016, 229, 38,116
18/03/2016, 158, 48,279
19/03/2016, 234, 91,155
21/03/2016, 100, 14,158
22/03/2016, 579, 13,238
23/03/2016, 138, 21,560
24/03/2016, ***, **,***
25/03/2016, 144, 94,356
26/03/2016, 245, 17,250
28/03/2016, 670, 39,234
29/03/2016, 123, 61,290
30/03/2016, 350, 86,277
31/03/2016, 156, 20,136
01/04/2016, 990, 81,380
02/04/2016, 255, 21,290
04/04/2016, 148, 37,250
05/04/2016, 256, 32,147
06/04/2016, 480, 21,678
07/04/2016, 335, 13,490
08/04/2016, 556, 69,135
09/04/2016, 579, 18,116
11/04/2016, 125, 84,239
12/04/2016, 269, 76,178
13/04/2016, 157, 39,126
14/04/2016, 379, 91,146
15/04/2016, 125, 88,459
16/04/2016, 356, 44,220
18/04/2016, 499, 26,277
19/04/2016, 779, 39,450
20/04/2016, 118, 06,150
21/04/2016, 144, 90,190
22/04/2016, 340, 71,588
23/04/2016, 134, 87,700
25/04/2016, 260, 82,390
26/04/2016, 249, 52,345
27/04/2016, 127, 08,369
28/04/2016, 240, 64,167
29/04/2016, 779, 32,345
30/04/2016, 568, 91,146
02/05/2016, 189, 81,579
03/05/2016, 150, 69,270
04/05/2016, 150, 69,180
05/05/2016, 120, 33,157
06/05/2016, 790, 67,179
07/05/2016, 179, 76,349
09/05/2016, 156, 21,489
10/05/2016, 880, 63,788
11/05/2016, 700, 77,359
12/05/2016, 160, 73,148
13/05/2016, 367, 66,349
14/05/2016, 227, 10,569
16/05/2016, 137, 11,489
17/05/2016, 356, 42,200
18/05/2016, 124, 71,128
19/05/2016, 489, 14,789
20/05/2016, 120, 34,770
21/05/2016, 189, 82,679
23/05/2016, 680, 46,367
24/05/2016, 136, 07,160
25/05/2016, 170, 88,468
26/05/2016, 168, 59,667
27/05/2016, 348, 55,159
28/05/2016, 130, 43,157
30/05/2016, 289, 99,270
31/05/2016, 150, 60,389
01/06/2016, 330, 66,169
02/06/2016, 280, 02,138
03/06/2016, 480, 26,259
04/06/2016, 578, 02,570
06/06/2016, 145, 02,499
07/06/2016, 460, 01,489
08/06/2016, 359, 77,124
09/06/2016, 270, 95,348
10/06/2016, 270, 97,368
11/06/2016, 236, 11,669
13/06/2016, 339, 55,249
14/06/2016, 789, 46,259
15/06/2016, 135, 95,447
16/06/2016, 280, 02,345
17/06/2016, 345, 22,228
18/06/2016, 680, 46,123
20/06/2016, 267, 52,499
21/06/2016, 160, 75,780
22/06/2016, 488, 09,577
23/06/2016, 128, 12,778
24/06/2016, 277, 68,260
25/06/2016, 350, 87,124
27/06/2016, 244, 09,469
28/06/2016, 155, 13,788
29/06/2016, 456, 58,125
30/06/2016, 146, 11,128
01/07/2016, 580, 39,379
02/07/2016, 359, 74,158
04/07/2016, 277, 60,244
05/07/2016, 138, 23,670
06/07/2016, 378, 85,690
07/07/2016, ***, *,***
08/07/2016, 699, 44,158
09/07/2016, 470, 12,237
11/07/2016, 460, 09,478
12/07/2016, 589, 28,350
13/07/2016, 124, 75,690
14/07/2016, 178, 66,556
15/07/2016, 380, 16,178
16/07/2016, 269, 74,455
18/07/2016, 360, 92,156
19/07/2016, 169, 69,379
20/07/2016, 255, 23,346
21/07/2016, 124, 72,138
22/07/2016, 125, 84,789
23/07/2016, 235, 04,356
25/07/2016, 256, 35,267
26/07/2016, 470, 11,245
27/07/2016, 370, 08,134
28/07/2016, 550, 06,150
29/07/2016, 260, 89,199
30/07/2016, 790, 66,240
01/08/2016, 240, 61,236
02/08/2016, 135, 93,247
03/08/2016, 559, 98,567
04/08/2016, 138, 28,134
05/08/2016, 259, 61,227
06/08/2016, 359, 70,370
08/08/2016, 780, 54,248
09/08/2016, 137, 14,239
10/08/2016, 128, 17,269
11/08/2016, 457, 66,358
12/08/2016, 120, 37,179
13/08/2016, 460, 08,369
15/08/2016, ***, **,***
16/08/2016, 258, 53,120
17/08/2016, 599, 37,188
18/08/2016, 199, 92,660
19/08/2016, 780, 56,178
20/08/2016, 168, 54,789
22/08/2016, 249, 51,137
23/08/2016, 130, 41,678
24/08/2016, 237, 29,289
25/08/2016, 579, 10,578
26/08/2016, 230, 53,157
27/08/2016, 249, 54,257
29/08/2016, 490, 33,346
30/08/2016, 123, 69,135
31/08/2016, 125, 80,235
01/09/2016, 349, 68,189
02/09/2016, 120, 39,234
03/09/2016, 337, 33,256
05/09/2016, 690, 54,356
06/09/2016, 269, 73,139
07/09/2016, 139, 36,123
08/09/2016, 700, 71,470
09/09/2016, 470, 12,499
10/09/2016, 159, 53,670
12/09/2016, 360, 91,335
13/09/2016, 588, 16,123
14/09/2016, 456, 55,249
15/09/2016, 256, 36,114
16/09/2016, 779, 31,236
17/09/2016, 248, 47,458
19/09/2016, 368, 78,468
20/09/2016, 177, 53,337
21/09/2016, 225, 92,336
22/09/2016, 400, 45,780
23/09/2016, 789, 48,260
24/09/2016, 190, 03,139
26/09/2016, 270, 97,700
27/09/2016, 149, 40,127
28/09/2016, 112, 45,258
29/09/2016, 125, 87,467
30/09/2016, 689, 32,138
01/10/2016, 160, 76,466
03/10/2016, 458, 71,669
04/10/2016, 589, 23,689
05/10/2016, 157, 31,560
06/10/2016, 115, 70,127
07/10/2016, 145, 03,580
08/10/2016, 120, 39,478
10/10/2016, 445, 37,449
11/10/2016, 134, 82,778
12/10/2016, 567, 85,159
13/10/2016, 450, 93,670
14/10/2016, 156, 22,237
15/10/2016, 469, 91,489
17/10/2016, 170, 87,890
18/10/2016, 227, 10,578
19/10/2016, 456, 50,578
20/10/2016, 479, 07,368
21/10/2016, 126, 97,179
22/10/2016, 690, 59,379
24/10/2016, 459, 88,116
25/10/2016, 446, 42,679
26/10/2016, 589, 25,159
27/10/2016, 150, 66,349
28/10/2016, ***, **,***
29/10/2016, ***, **,***
07/11/2016, 179, 77,467
