date, leftPanel, pair, rightPanel
19/06/2017, 122, 55,159
20/06/2017, 780, 59,450
21/06/2017, 558, 83,247
22/06/2017, 180, 96,899
23/06/2017, 129, 21,290
26/06/2017, ***, **,***
27/06/2017, 560, 12,679
28/06/2017, 455, 42,660
29/06/2017, 227, 15,366
30/06/2017, 690, 59,478
03/07/2017, 150, 62,480
04/07/2017, 447, 56,150
05/07/2017, 268, 68,350
06/07/2017, 146, 12,228
07/07/2017, 260, 81,380
10/07/2017, 270, 92,688
11/07/2017, 123, 64,149
12/07/2017, 890, 78,224
13/07/2017, 116, 85,366
14/07/2017, 239, 42,345
17/07/2017, 400, 43,670
18/07/2017, 135, 93,238
19/07/2017, 128, 14,356
20/07/2017, 348, 58,125
21/07/2017, 590, 42,156
24/07/2017, 460, 05,348
25/07/2017, 366, 51,137
26/07/2017, 457, 61,128
27/07/2017, 880, 65,159
28/07/2017, 112, 40,226
31/07/2017, 345, 28,369
01/08/2017, 457, 60,145
02/08/2017, 359, 71,489
03/08/2017, 134, 81,380
04/08/2017, 348, 53,300
07/08/2017, 168, 50,226
08/08/2017, 135, 96,556
09/08/2017, 457, 64,347
10/08/2017, 233, 80,370
11/08/2017, 378, 84,167
14/08/2017, 360, 95,122
15/08/2017, ***, **,***
16/08/2017, 889, 52,480
17/08/2017, 248, 40,569
18/08/2017, 346, 37,133
21/08/2017, 169, 61,588
22/08/2017, 470, 16,358
23/08/2017, 236, 18,369
24/08/2017, 245, 14,347
25/08/2017, 360, 97,133
28/08/2017, 489, 14,680
29/08/2017, 579, 18,378
30/08/2017, 348, 55,267
31/08/2017, 280, 07,340
01/09/2017, 230, 52,246
04/09/2017, 290, 19,180
05/09/2017, 688, 22,138
06/09/2017, 579, 10,299
07/09/2017, 344, 19,144
08/09/2017, 356, 49,270
11/09/2017, 450, 94,248
12/09/2017, 235, 07,278
13/09/2017, 178, 60,235
14/09/2017, 600, 68,459
15/09/2017, 257, 43,445
18/09/2017, 339, 53,247
19/09/2017, 129, 23,346
20/09/2017, 380, 12,156
21/09/2017, 360, 96,178
22/09/2017, 160, 77,269
25/09/2017, 149, 46,358
26/09/2017, 599, 32,345
27/09/2017, 118, 09,144
28/09/2017, 128, 13,157
29/09/2017, 150, 67,278
02/10/2017, 267, 53,337
03/10/2017, 188, 71,399
04/10/2017, 266, 46,259
05/10/2017, 159, 55,348
06/10/2017, 150, 61,399
09/10/2017, ***, **,***
10/10/2017, ***, **,***
11/10/2017, ***, **,***
12/10/2017, ***, **,***
13/10/2017, ***, **,***
16/10/2017, ***, **,***
17/10/2017, ***, **,***
18/10/2017, ***, **,***
19/10/2017, ***, **,***
20/10/2017, ***, **,***
23/10/2017, ***, **,***
24/10/2017, ***, **,***
25/10/2017, 688, 21,380
26/10/2017, 148, 34,130
27/10/2017, 377, 79,450
30/10/2017, 599, 33,238
31/10/2017, 356, 44,149
01/11/2017, 180, 98,125
02/11/2017, 257, 45,249
03/11/2017, 290, 16,880
