date, leftPanel, pair, rightPanel
26/12/2019, 339, 56,367
27/12/2019, 145, 03,490
28/12/2019, 356, 49,577
29/12/2019, 168, 52,228
30/12/2019, 358, 62,156
31/12/2019, 236, 12,778
01/01/2020, 167, 44,257
02/01/2020, 790, 66,169
03/01/2020, 130, 42,246
04/01/2020, 449, 43,157
05/01/2020, 679, 27,368
06/01/2020, 347, 45,780
07/01/2020, 788, 30,578
08/01/2020, 236, 18,459
09/01/2020, 235, 03,670
10/01/2020, 448, 66,367
11/01/2020, 690, 50,668
12/01/2020, 990, 87,115
13/01/2020, 357, 56,123
14/01/2020, 369, 89,289
15/01/2020, 555, 54,167
16/01/2020, 116, 80,460
17/01/2020, 148, 38,233
18/01/2020, 128, 19,568
19/01/2020, 255, 29,379
20/01/2020, 338, 48,567
21/01/2020, 579, 15,348
22/01/2020, 899, 66,277
23/01/2020, 168, 52,589
24/01/2020, 477, 82,688
25/01/2020, 579, 12,589
26/01/2020, ***, **,***
27/01/2020, 780, 51,227
28/01/2020, 388, 99,360
29/01/2020, 299, 02,679
30/01/2020, 190, 00,145
31/01/2020, 570, 28,189
01/02/2020, 244, 04,239
02/02/2020, 477, 81,678
03/02/2020, 170, 83,689
04/02/2020, 449, 71,489
05/02/2020, 577, 96,259
06/02/2020, 144, 92,138
07/02/2020, 368, 70,118
08/02/2020, 669, 10,389
09/02/2020, 479, 03,256
10/02/2020, 450, 99,126
11/02/2020, 188, 70,334
12/02/2020, 257, 48,134
13/02/2020, 557, 74,455
14/02/2020, 599, 32,237
15/02/2020, 778, 26,169
16/02/2020, 279, 80,668
17/02/2020, 688, 24,112
18/02/2020, 568, 93,788
19/02/2020, 247, 31,100
20/02/2020, 136, 04,356
21/02/2020, 678, 11,489
22/02/2020, 135, 92,589
23/02/2020, 890, 71,128
24/02/2020, 349, 66,367
25/02/2020, 490, 30,235
26/02/2020, 467, 77,269
27/02/2020, 477, 86,556
28/02/2020, 380, 16,150
29/02/2020, 359, 77,278
01/03/2020, 479, 03,670
02/03/2020, 139, 30,244
03/03/2020, 300, 37,700
04/03/2020, 470, 17,458
05/03/2020, 112, 40,145
06/03/2020, 990, 83,148
07/03/2020, 388, 98,468
08/03/2020, 468, 86,330
09/03/2020, 577, 91,236
10/03/2020, ***, **,***
11/03/2020, 467, 74,770
12/03/2020, 156, 24,680
13/03/2020, 158, 49,469
14/03/2020, 480, 25,168
15/03/2020, 345, 20,578
16/03/2020, 347, 49,360
17/03/2020, 125, 87,700
18/03/2020, 680, 44,248
19/03/2020, 334, 09,180
20/03/2020, 479, 08,378
21/03/2020, 146, 19,270
22/03/2020, 457, 65,357
23/03/2020, 350, 88,279
24/03/2020, 279, 87,133
25/03/2020, 349, 62,255
26/03/2020, 567, 88,189
27/03/2020, 160, 76,556
28/03/2020, 899, 62,570
29/03/2020, 778, 22,336
30/03/2020, 245, 10,550
31/03/2020, 240, 68,116
01/04/2020, 288, 80,479
02/04/2020, 270, 93,238
03/04/2020, 230, 59,289
04/04/2020, 225, 91,579
05/04/2020, 249, 50,488
06/04/2020, 600, 69,667
07/04/2020, 690, 55,267
08/04/2020, 133, 79,568
09/04/2020, 168, 57,269
10/04/2020, 468, 84,149
11/04/2020, 247, 40,244
12/04/2020, 780, 58,189
13/04/2020, 229, 39,388
14/04/2020, 358, 65,267
15/04/2020, 138, 21,579
16/04/2020, 367, 68,125
17/04/2020, 370, 01,380
18/04/2020, 134, 87,368
19/04/2020, 789, 41,470
20/04/2020, 499, 20,136
21/04/2020, 123, 67,566
22/04/2020, 349, 63,779
23/04/2020, 356, 45,140
24/04/2020, 170, 84,220
25/04/2020, 226, 07,478
26/04/2020, 568, 92,228
27/04/2020, 580, 32,660
28/04/2020, 147, 24,699
29/04/2020, 790, 60,677
30/04/2020, 456, 51,100
01/05/2020, 899, 64,356
02/05/2020, 479, 05,357
03/05/2020, 339, 58,800
04/05/2020, 227, 10,389
05/05/2020, 135, 90,677
06/05/2020, 156, 20,578
07/05/2020, 559, 97,179
08/05/2020, 269, 79,360
09/05/2020, 112, 40,136
10/05/2020, 278, 74,167
11/05/2020, 145, 08,350
12/05/2020, 680, 49,234
13/05/2020, 246, 26,448
14/05/2020, 770, 40,479
15/05/2020, 156, 23,670
16/05/2020, 337, 31,579
17/05/2020, 567, 83,689
18/05/2020, 679, 26,178
19/05/2020, 330, 69,379
20/05/2020, 239, 46,367
21/05/2020, 334, 02,390
22/05/2020, 277, 60,668
23/05/2020, 667, 90,127
24/05/2020, 455, 41,489
25/05/2020, 200, 29,333
26/05/2020, 259, 68,459
27/05/2020, 345, 23,355
28/05/2020, 237, 27,115
29/05/2020, 267, 56,457
30/05/2020, 556, 66,358
31/05/2020, 116, 89,126
01/06/2020, 277, 68,558
02/06/2020, 348, 56,367
03/06/2020, 289, 91,146
04/06/2020, 299, 06,123
05/06/2020, 667, 63,238
06/06/2020, 789, 48,440
07/06/2020, 500, 56,349
08/06/2020, 990, 85,690
09/06/2020, 114, 60,280
10/06/2020, 577, 95,168
11/06/2020, 799, 57,377
12/06/2020, 440, 86,790
13/06/2020, 270, 94,257
14/06/2020, 239, 47,278
15/06/2020, 689, 32,345
16/06/2020, 130, 48,459
17/06/2020, 378, 81,470
18/06/2020, 789, 43,148
19/06/2020, 125, 82,147
20/06/2020, 890, 75,267
21/06/2020, 349, 62,660
22/06/2020, 168, 53,580
23/06/2020, 700, 78,369
24/06/2020, 250, 79,900
25/06/2020, 339, 54,257
26/06/2020, 124, 70,460
27/06/2020, 247, 35,366
28/06/2020, 157, 35,177
29/06/2020, 138, 24,400
30/06/2020, 670, 31,335
01/07/2020, 447, 53,779
02/07/2020, 266, 40,550
03/07/2020, 589, 21,399
04/07/2020, 355, 32,390
05/07/2020, 569, 09,469
06/07/2020, 115, 71,245
07/07/2020, 268, 66,268
08/07/2020, 238, 38,125
09/07/2020, 880, 62,688
10/07/2020, 224, 82,237
11/07/2020, 779, 31,669
12/07/2020, 188, 78,558
13/07/2020, 135, 93,157
14/07/2020, 340, 73,247
15/07/2020, 249, 51,245
16/07/2020, 679, 27,449
17/07/2020, 378, 85,159
18/07/2020, 370, 02,156
19/07/2020, 170, 81,678
20/07/2020, 467, 75,690
21/07/2020, 126, 99,469
22/07/2020, 700, 79,199
23/07/2020, 556, 69,117
24/07/2020, 199, 98,224
25/07/2020, 570, 24,356
26/07/2020, 459, 88,468
27/07/2020, 360, 90,127
28/07/2020, 348, 53,148
29/07/2020, 670, 33,670
30/07/2020, 125, 80,668
31/07/2020, 338, 42,336
01/08/2020, 167, 41,119
02/08/2020, 279, 80,550
03/08/2020, 156, 26,880
04/08/2020, 126, 97,124
05/08/2020, 340, 70,668
06/08/2020, 234, 91,155
07/08/2020, 258, 58,369
08/08/2020, 250, 76,268
09/08/2020, 267, 59,577
10/08/2020, 190, 06,349
11/08/2020, 289, 93,139
12/08/2020, 458, 70,569
13/08/2020, 157, 38,279
14/08/2020, 388, 98,170
15/08/2020, ***, **,***
16/08/2020, 580, 32,499
17/08/2020, 559, 92,147
18/08/2020, 770, 47,368
19/08/2020, 223, 73,229
20/08/2020, 333, 93,148
21/08/2020, 799, 51,669
22/08/2020, 479, 01,290
23/08/2020, 689, 34,257
24/08/2020, 178, 64,356
25/08/2020, 500, 54,446
26/08/2020, 689, 32,679
27/08/2020, 370, 01,678
28/08/2020, 448, 63,490
29/08/2020, 337, 30,569
30/08/2020, 199, 92,499
31/08/2020, 358, 60,127
01/09/2020, 136, 03,120
02/09/2020, 780, 54,167
03/09/2020, 144, 94,248
